date,schedule,hrs,etips,cash,deliveries,km,earnings,net,nethrs,tipdel,kmdel,delhrs,day,strhr,more
2021-01-23,17-21,4,1.0,10.5,10,31.8,43.22,52.27,13.07,1.15,3.18,2.5,Saturday,17.0,0.8049999999999997
2021-01-24,17-21,4,0.5,4.5,10,29.8,44.39,46.78,11.7,0.5,2.98,2.5,Sunday,17.0,1.0975000000000001
2021-01-25,19-21,2,2.0,4.0,7,18.4,27.9,32.44,16.22,0.86,2.63,3.5,Monday,19.0,3.9499999999999993
2021-01-26,19-21,2,2.0,3.0,7,14.2,27.18,30.89,15.45,0.71,2.03,3.5,Tuesday,19.0,3.59
2021-01-27,18-22,4,2.0,12.0,13,28.2,52.02,63.67,15.92,1.08,2.17,3.25,Wednesday,18.0,3.005000000000001
2021-01-29,18-22,4,3.0,13.0,13,29.6,51.12,64.74,16.19,1.23,2.28,3.25,Friday,18.0,2.7799999999999994
2021-01-30,18-22,4,3.5,6.7,12,27.9,48.42,55.95,13.99,0.85,2.32,3.0,Saturday,18.0,2.1050000000000004
2021-01-31,17-21,4,1.0,10.0,10,25.6,46.29,54.11,13.53,1.1,2.56,2.5,Sunday,17.0,1.5724999999999998
2021-02-01,17-21,4,0.0,9.0,10,43.5,44.12,50.7,12.68,0.9,4.35,2.5,Monday,17.0,1.0299999999999994
2021-02-02,17-19,2,1.0,1.5,3,13.5,22.88,22.11,11.06,0.83,4.5,1.5,Tuesday,17.0,1.4399999999999995
2021-02-04,17-21,4,7.5,2.8,9,32.2,40.0,46.26,11.57,1.14,3.58,2.25,Thursday,17.0,0.0
2021-02-05,17-21,4,3.0,3.0,8,33.9,43.78,45.1,11.28,0.75,4.24,2.0,Friday,17.0,0.9450000000000003
2021-02-06,18.30-20.30,2,1.0,2.0,7,12.9,27.54,29.4,14.7,0.43,1.84,3.5,Saturday,18.5,3.7699999999999996
2021-02-07,17.30-21.30,4,12.0,5.0,9,26.6,45.74,56.25,14.06,1.89,2.96,2.25,Sunday,17.5,1.4350000000000005
2021-02-09,17.30-21.31,4,4.0,13.3,11,31.0,43.49,58.37,14.59,1.57,2.82,2.75,Tuesday,17.5,0.8725000000000005
2021-02-10,17.30-21.32,4,6.8,4.8,13,24.2,52.85,60.75,15.19,0.89,1.86,3.25,Wednesday,17.5,3.2125000000000004
